id_person,Season,classifica,Category,league_nam,team_name,team_id,F_P_G,F_C_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G
10857,1972,AAA,MiLB,American Association,Indianapolis,1972_AmericanAssociation_Indianapolis,4,0,0,0,0,0,0,0,0,0
11071,1971,AAA,MiLB,American Association,Indianapolis,1971_AmericanAssociation_Indianapolis,21,0,0,0,0,0,0,0,0,0
11388,1986,AAA,MiLB,American Association,Indianapolis,1986_AmericanAssociation_Indianapolis,10,0,0,0,0,0,0,0,0,0
11388,1987,AAA,MiLB,American Association,Indianapolis,1987_AmericanAssociation_Indianapolis,45,0,0,0,0,0,0,0,0,0
11388,1988,AAA,MiLB,American Association,Indianapolis,1988_AmericanAssociation_Indianapolis,32,0,0,0,0,0,0,0,0,0
11397,1988,AAA,MiLB,American Association,Indianapolis,1988_AmericanAssociation_Indianapolis,9,0,0,0,0,0,0,0,0,0
11397,1989,AAA,MiLB,American Association,Indianapolis,1989_AmericanAssociation_Indianapolis,20,0,0,0,0,0,0,0,0,0
11560,2007,AAA,MiLB,International,Indianapolis,2007_International_Indianapolis,2,0,0,0,0,0,0,0,0,0
11818,1974,AAA,MiLB,American Association,Indianapolis,1974_AmericanAssociation_Indianapolis,0,0,18,0,0,0,46,0,0,0
11849,2015,AAA,MiLB,International,Indianapolis,2015_International_Indianapolis,1,0,1,1,3,6,1,1,0,0
11907,1999,AAA,MiLB,International,Indianapolis,1999_International_Indianapolis,9,0,0,0,0,0,0,0,0,0
11920,2015,AAA,MiLB,International,Indianapolis,2015_International_Indianapolis,0,0,0,0,0,0,67,8,13,47
11920,2016,AAA,MiLB,International,Indianapolis,2016_International_Indianapolis,0,0,0,0,0,0,128,2,3,124
12165,1979,AAA,MiLB,American Association,Indianapolis,1979_AmericanAssociation_Indianapolis,0,0,47,0,17,0,4,0,0,0
12210,2000,AAA,MiLB,International,Indianapolis,2000_International_Indianapolis,14,0,0,0,0,0,0,0,0,0
12210,2001,AAA,MiLB,International,Indianapolis,2001_International_Indianapolis,31,0,0,0,0,0,0,0,0,0
12210,2002,AAA,MiLB,International,Indianapolis,2002_International_Indianapolis,31,0,0,0,0,0,0,0,0,0
12334,1960,AAA,MiLB,American Association,Indianapolis,1960_AmericanAssociation_Indianapolis,16,0,0,0,0,0,0,0,0,0
12393,1993,AAA,MiLB,American Association,Indianapolis,1993_AmericanAssociation_Indianapolis,6,0,0,0,0,0,0,0,0,0
12557,2001,AAA,MiLB,International,Indianapolis,2001_International_Indianapolis,4,0,0,0,0,0,0,0,0,0
12610,1984,AAA,MiLB,American Association,Indianapolis,1984_AmericanAssociation_Indianapolis,19,0,0,0,0,0,0,0,0,0
12618,1998,AAA,MiLB,International,Indianapolis,1998_International_Indianapolis,2,0,0,0,0,0,0,0,0,0
12677,2009,AAA,MiLB,International,Indianapolis,2009_International_Indianapolis,0,0,1,0,0,0,69,5,0,64
