id_person,DoB,PoB_ID,City,State,Country,Region,Group,Lat,Long
148171,1974,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
167571,1955,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
168315,1987,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
169524,1984,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
179050,1988,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
187533,1994,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
223509,1995,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
267008,1997,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
267872,1997,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
289484,1998,Anaco_Anzoategui_VE,Anaco,Anzoategui,VE,South America,Latin America and the Caribbean,9.431216,-64.457139
155428,1985,Anama_ElSeibo_DO,Anama,El Seibo,DO,Caribbean,Latin America and the Caribbean,18.785417,-69.019678
133591,1934,Ancon_CanalZone_PA,Ancon,Canal Zone,PA,Central America,Latin America and the Caribbean,8.309607,-81.306625
17364,1988,Ansonia_DO,Ansonia,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
239875,1993,Ansonia_DO,Ansonia,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
266349,1990,Antilla_CU,Antilla,,CU,Caribbean,Latin America and the Caribbean,20.832246,-75.734819
73634,1943,AntonLizardo_Veracruz_MX,Anton Lizardo,Veracruz,MX,Central America,Latin America and the Caribbean,19.056667,-95.988056
12946,1962,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
24197,1980,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
29564,1984,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
61969,1990,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
63263,1986,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
63886,1980,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
74088,1980,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
140528,1991,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
