PoB_ID,City,State,Country,Region,Group,Lat,Long
Ansonia_DO,Ansonia,,DO,Caribbean,Latin America and the Caribbean,19.097403,-70.302803
Antelope_CA_US,Antelope,CA,US,Northern America,Northern America,38.708236,-121.329951
Anthem_AZ_US,Anthem,AZ,US,Northern America,Northern America,33.861333,-112.125466
Antigo_WI_US,Antigo,WI,US,Northern America,Northern America,45.140245,-89.152335
Antilla_CU,Antilla,,CU,Caribbean,Latin America and the Caribbean,20.832246,-75.734819
Antioch_CA_US,Antioch,CA,US,Northern America,Northern America,38.004921,-121.805789
Antioch_GA_US,Antioch,GA,US,Northern America,Northern America,33.107622,-85.169942
AntonLizardo_Veracruz_MX,Anton Lizardo,Veracruz,MX,Central America,Latin America and the Caribbean,19.056667,-95.988056
Antwerp_Antwerp_BE,Antwerp,Antwerp,BE,Western Europe,Europe,51.22111,4.399708
Anyang_KR,Anyang,,KR,Eastern Asia,Asia,37.395608,126.915523
Anzio_Lazio_IT,Anzio,Lazio,IT,Southern Europe,Europe,41.448126,12.628688
Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
Apeldoorn_Gelderland_NL,Apeldoorn,Gelderland,NL,Western Europe,Europe,52.215646,5.963949
Apex_NC_US,Apex,NC,US,Northern America,Northern America,35.732535,-78.850552
Apopka_FL_US,Apopka,FL,US,Northern America,Northern America,28.741415,-81.534429
Appleton_MN_US,Appleton,MN,US,Northern America,Northern America,45.196906,-96.019767
Appleton_WI_US,Appleton,WI,US,Northern America,Northern America,44.261134,-88.40676
AppleValley_CA_US,Apple Valley,CA,US,Northern America,Northern America,34.500831,-117.185876
Appling_GA_US,Appling,GA,US,Northern America,Northern America,33.545968,-82.315957
Appomattox_VA_US,Appomattox,VA,US,Northern America,Northern America,37.357089,-78.825291
Aquadilla_PR,Aquadilla,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
Arab_AL_US,Arab,AL,US,Northern America,Northern America,34.31815,-86.495822
Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
AraguadeBarcelona_Anzoategui_VE,Aragua de Barcelona,Anzoategui,VE,South America,Latin America and the Caribbean,9.454734,-64.831781
Araure_Portuguesa_VE,Araure,Portuguesa,VE,South America,Latin America and the Caribbean,9.593133,-69.227284
Araya_Sucre_VE,Araya,Sucre,VE,South America,Latin America and the Caribbean,10.573836,-64.256554
Arcadia_CA_US,Arcadia,CA,US,Northern America,Northern America,34.136208,-118.04015
Arcadia_FL_US,Arcadia,FL,US,Northern America,Northern America,27.215883,-81.858416
Arcaida_FL_US,Arcaida,FL,US,Northern America,Northern America,27.756767,-81.463983
Arcata_CA_US,Arcata,CA,US,Northern America,Northern America,40.866517,-124.08284
Archbald_PA_US,Archbald,PA,US,Northern America,Northern America,41.494804,-75.536852
Archdale_NC_US,Archdale,NC,US,Northern America,Northern America,35.914581,-79.971983
ArcherCity_TX_US,Archer City,TX,US,Northern America,Northern America,33.595659,-98.625613
Arcola_MS_US,Arcola,MS,US,Northern America,Northern America,33.269842,-90.879823
Ardmore_OK_US,Ardmore,OK,US,Northern America,Northern America,34.174261,-97.143625
